3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3307|1901|0101|0300|30
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
