3301|1900|0101|0300|23
3302|1901|0102|0345|25
3303|1900|0101|0300|26
3304|1901|0102|0345|27
3305|1900|0101|0300|28
3306|1901|0102|0345|29
3307|1903|0101|0300|23
3307|1904|0102|0345|25
3308|1905|0101|0300|27
3309|1906|0102|0345|26
3310|1900|0101|0300|23
3311|1901|0102|0345|25
3312|1900|0101|0300|23
3313|1901|0102|0345|25
3314|1900|0101|0300|23
3315|1901|0102|0345|25
3316|1900|0101|0300|23
3317|1901|0102|0345|25
3318|1900|0101|0300|23
3319|1901|0102|0345|25
3320|1900|0101|0300|23
3321|1901|0102|0345|25
3322|1900|0101|0300|23
3323|1901|0102|0345|25
3324|1900|0101|0300|23
3325|1901|0102|0345|25
3326|1900|0101|0300|23
3327|1901|0102|0345|25
3328|1900|0101|0300|23
3329|1901|0102|0345|25
3330|1900|0101|0300|23
3331|1901|0102|0345|25
3332|1900|0101|0300|23
3333|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3310|1904|0101|0300|26
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
3300|1900|0101|0300|23
3300|1901|0102|0345|25
